INFO 2021-09-04 00:41:34,799 - Receive response from https://hentai2read.com/tonari_to_tonari_no_oneechan/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:34,935 - Generate manga information
DEBUG 2021-09-04 00:41:34,936 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:35,473 - https://hentai2read.com:443 "GET /twins_mother/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:35,474 - Receive response from https://hentai2read.com/twins_mother/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:35,553 - Generate manga information
DEBUG 2021-09-04 00:41:35,555 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:36,969 - https://hentai2read.com:443 "GET /wonderful_feeling/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:36,980 - Receive response from https://hentai2read.com/wonderful_feeling/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:37,060 - Generate manga information
DEBUG 2021-09-04 00:41:37,061 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:37,800 - https://hentai2read.com:443 "GET /scarlet_desire/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:37,812 - Receive response from https://hentai2read.com/scarlet_desire/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:37,892 - Generate manga information
DEBUG 2021-09-04 00:41:37,893 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:38,885 - https://hentai2read.com:443 "GET /corss_over/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:38,888 - Receive response from https://hentai2read.com/corss_over/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:38,960 - Generate manga information
DEBUG 2021-09-04 00:41:38,962 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:40,694 - https://hentai2read.com:443 "GET /a_wish_of_my_sister/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:40,696 - Receive response from https://hentai2read.com/a_wish_of_my_sister/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:40,769 - Generate manga information
DEBUG 2021-09-04 00:41:40,770 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:41,513 - https://hentai2read.com:443 "GET /alice_in_sexland/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:41,523 - Receive response from https://hentai2read.com/alice_in_sexland/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:41,600 - Generate manga information
DEBUG 2021-09-04 00:41:41,601 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:42,853 - https://hentai2read.com:443 "GET /alice_in_sexland_extreme/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:42,855 - Receive response from https://hentai2read.com/alice_in_sexland_extreme/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:42,932 - Generate manga information
DEBUG 2021-09-04 00:41:42,933 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:43,678 - https://hentai2read.com:443 "GET /anal_justice/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:43,685 - Receive response from https://hentai2read.com/anal_justice/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:43,766 - Generate manga information
DEBUG 2021-09-04 00:41:43,767 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:45,263 - https://hentai2read.com:443 "GET /bloomer_mama/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:45,283 - Receive response from https://hentai2read.com/bloomer_mama/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:45,364 - Generate manga information
DEBUG 2021-09-04 00:41:45,366 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:45,911 - https://hentai2read.com:443 "GET /boing_boing_onsen/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:45,918 - Receive response from https://hentai2read.com/boing_boing_onsen/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:45,993 - Generate manga information
DEBUG 2021-09-04 00:41:45,994 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:46,734 - https://hentai2read.com:443 "GET /boing_boing_teacher/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:46,748 - Receive response from https://hentai2read.com/boing_boing_teacher/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:46,824 - Generate manga information
DEBUG 2021-09-04 00:41:46,825 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:47,622 - https://hentai2read.com:443 "GET /boshi_double_soukan/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:47,632 - Receive response from https://hentai2read.com/boshi_double_soukan/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:47,733 - Generate manga information
DEBUG 2021-09-04 00:41:47,733 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:49,152 - https://hentai2read.com:443 "GET /brandish/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:49,154 - Receive response from https://hentai2read.com/brandish/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:49,226 - Generate manga information
DEBUG 2021-09-04 00:41:49,227 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:49,798 - https://hentai2read.com:443 "GET /candy_girl/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:49,803 - Receive response from https://hentai2read.com/candy_girl/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:49,873 - Generate manga information
DEBUG 2021-09-04 00:41:49,874 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:51,232 - https://hentai2read.com:443 "GET /cheers/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:51,250 - Receive response from https://hentai2read.com/cheers/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:51,328 - Generate manga information
DEBUG 2021-09-04 00:41:51,329 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:52,087 - https://hentai2read.com:443 "GET /the_confession_of_mrs/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:52,095 - Receive response from https://hentai2read.com/the_confession_of_mrs/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:52,168 - Generate manga information
DEBUG 2021-09-04 00:41:52,169 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:52,713 - https://hentai2read.com:443 "GET /dawn_of_the_silver_dragon/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:52,716 - Receive response from https://hentai2read.com/dawn_of_the_silver_dragon/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:52,787 - Generate manga information
DEBUG 2021-09-04 00:41:52,788 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:54,509 - https://hentai2read.com:443 "GET /dv/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:54,521 - Receive response from https://hentai2read.com/dv/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:54,594 - Generate manga information
DEBUG 2021-09-04 00:41:54,596 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:55,129 - https://hentai2read.com:443 "GET /falling_in_love_is_work/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:55,129 - Receive response from https://hentai2read.com/falling_in_love_is_work/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:55,199 - Generate manga information
DEBUG 2021-09-04 00:41:55,200 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:56,509 - https://hentai2read.com:443 "GET /first_time/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:56,513 - Receive response from https://hentai2read.com/first_time/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:56,587 - Generate manga information
DEBUG 2021-09-04 00:41:56,588 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:57,131 - https://hentai2read.com:443 "GET /g_cup_reiko/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:57,135 - Receive response from https://hentai2read.com/g_cup_reiko/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:57,207 - Generate manga information
DEBUG 2021-09-04 00:41:57,209 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:57,739 - https://hentai2read.com:443 "GET /great_reaction_in_ecstasy/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:57,744 - Receive response from https://hentai2read.com/great_reaction_in_ecstasy/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:57,820 - Generate manga information
DEBUG 2021-09-04 00:41:57,821 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:41:59,231 - https://hentai2read.com:443 "GET /half_cocked/ HTTP/1.1" 200 None
INFO 2021-09-04 00:41:59,242 - Receive response from https://hentai2read.com/half_cocked/ with status code is 200. Generating soup
INFO 2021-09-04 00:41:59,316 - Generate manga information
